Name,Location,Behavior,Other Gifts
Lamar,"51.91599, 17.05723",-0.1448773484,7
Chloe,"-47.99358, 128.19181",0.1052976657,3
Delilah,"-56.54483, -68.75454",-0.5108735976,6
Melvin,"-33.05493, 163.54943",-0.1544941861,9
Christine,"67.91621, -20.02474",-0.2850242525,8
Kamal,"-3.1266, -146.32247",0.1258362566,6
Wing,"-84.43444, 13.73323",-0.377767676,7
Veronica,"-47.41296, -87.77399",-0.4492173798,5
Winter,"-36.2772, 75.46097",-0.0679139421,7
Cailin,"-64.59022, -12.55785",-0.3964092132,8
Daphne,"73.94735, -157.54396",-0.3422562369,3
Rebekah,"-17.39537, -16.87106",0.0156838755,1
Ila,"76.00333, -8.37221",-0.1375700807,6
Evan,"-44.76562, -63.52071",-0.0944238583,9
Nolan,"83.87994, -34.88105",-0.234186865,4
Ria,"-60.73476, 101.34286",-0.4298363827,5
Yvette,"-85.74716, -112.03531",0.4527890193,9
Emmanuel,"-19.13695, -40.01419",0.3907556365,5
Erin,"2.58503, -140.41374",-0.0294801527,3
Chiquita,"78.65626, 56.73224",0.0764801156,3
Tyler,"2.7223, 171.09425",0.0489725328,1
Jacqueline,"81.48191, -64.9107",-0.1057808235,7
Maia,"88.13947, -31.65326",0.0410402878,9
Justin,"41.12116, 123.90078",-0.0018682947,7
Ali,"-50.44274, 89.29666",-0.0232426082,10
Tallulah,"67.23488, -52.16382",0.3001377206,1
Elliott,"-22.29264, -0.81564",-0.0960080763,1
Kirby,"13.71515, -72.13729",0.1813050383,1
Wyatt,"18.0804, 63.75576",0.1648293769,9
Irma,"37.20035, 30.0265",0.3230794738,10
Reece,"-21.64881, 4.34982",0.0181909849,3
Colt,"37.19844, -71.37944",0.2072787565,7
Abbot,"-22.6425, 134.12873",-0.0104173097,10
Ian,"35.89284, -36.25422",0.0141133337,1
Caryn,"45.5919, 36.22244",0.0017294619,7
Demetrius,"63.96471, 153.81609",-0.0147291805,4
Macaulay,"-32.09947, -83.07784",-0.1887171889,7
Lamar,"-71.59255, 31.6035",-0.4270057847,5
Xenos,"28.23775, 118.54852",0.0638194413,10
Arthur,"4.35945, 126.43793",0.0317007886,4
Janna,"-56.57076, -69.32688",0.3102474165,1
Abbot,"10.54265, -90.10289",0.1528014579,1
Madeson,"-37.77097, -8.01195",0.0933297383,8
Rachel,"69.36335, -129.59933",-0.4067288075,9
Abdul,"-46.65453, 57.83845",-0.0925916226,9
Ciaran,"-57.38711, -8.07193",-0.2298932448,8
Leonard,"-38.19428, 1.13826",0.3291071316,6
Rajah,"51.04175, -34.06893",0.1806306016,2
Caesar,"48.39054, 114.95863",0.3050148386,1
Francesca,"-59.17023, -164.98866",-0.1015121463,9
Jeremy,"84.87726, -85.8205",0.0394352726,8
Brianna,"66.80842, 58.4889",0.3438686054,5
Conan,"-26.45095, 161.41613",-0.0816482144,7
Rigel,"-23.20361, -171.07887",-0.5438335316,4
Grace,"19.0902, -42.40296",0.4465693255,5
Ferris,"-15.9218, -118.56634",0.0924253896,3
Cadman,"-13.34885, 152.14565",-0.1687032776,2
Ima,"31.07604, 36.33027",-0.2215219343,7
Beatrice,"-15.72643, 19.73423",-0.289695388,6
Camden,"-30.31367, -169.05527",0.1167154461,1
Ali,"-19.70853, 38.8613",0.174713147,6
Leroy,"-80.91459, 146.59946",0.0513697805,8
Raphael,"69.11382, -168.67309",0.1408368593,8
Alisa,"-25.64722, -128.91545",0.2630691945,5
Xaviera,"-46.25778, 68.66363",0.1694133945,4
Tasha,"-62.39981, -169.60398",-0.2230351152,8
Shelley,"50.52928, 173.70797",0.0169106562,7
Joy,"76.74437, 126.50523",-0.2201648045,9
Vernon,"-49.70683, -33.73391",-0.1278916339,3
Mannix,"17.65281, -164.38518",0.3182634337,6
Rae,"-59.23541, -29.88307",0.1642030278,1
Odessa,"83.3476, -61.68251",-0.1804872699,8
Stacey,"-0.75766, -64.51694",0.0720985943,5
Savannah,"73.49019, 128.23538",-0.0015996479,8
John,"-81.50884, -45.81903",-0.547467363,6
Macon,"-84.10699, -108.44278",0.100704879,9
Yvonne,"-75.83272, -29.85089",-0.2772460242,7
Linus,"-33.34894, -74.37736",0.3799806849,2
Clarke,"68.6106, 11.32655",0.1157539681,9
Lenore,"-63.78119, 21.84872",0.0971958497,3
Genevieve,"7.17793, -100.70364",0.0173011705,10
Norman,"35.49405, 56.25633",-0.1669660166,8
